ID,Eponym,Derived From / Source,Who/What,Historical / Mythological Rationale,Meaning,Category,Type,Action,Source Batch,Record Status
378,Byzantine,Byzantium,Ancient city,Associated with the Eastern Roman Empire's complex politics and architecture.,Intricate or excessively complex,History,Original entry,Review,Original master,Existing
379,Philistine,Philistines,Ancient people,Seen by later writers as lacking appreciation for culture.,Uncultured person,History,Original entry,Review,Original master,Existing
380,Spartan Diet,Sparta,Greek city-state,Reflects austere Spartan lifestyle.,Extremely simple lifestyle,History,Original entry,Review,Original master,Existing
381,Delphic,Delphi,Greek sanctuary,Home of Apollo's oracle known for ambiguous prophecies.,Mysterious or ambiguous,Greek History,Original entry,Review,Original master,Existing
382,Pyrrhic Victory,King Pyrrhus,King of Epirus,Victory achieved at devastating cost.,Costly victory,Ancient History,Original entry,Review,Original master,Existing
383,Laconic,Laconia (Sparta),Greek region,"Spartans were famous for brief, direct speech.",Using very few words,Ancient Greece,Original entry,Review,Original master,Existing
384,Adam's Apple,Adam,Biblical first man,Medieval legend claimed the forbidden fruit lodged in Adam's throat.,Laryngeal prominence,Biblical,Original entry,Review,Original master,Existing
385,Adamic,Adam,Biblical figure,Pertaining to mankind's earliest state.,Primitive; relating to mankind,Biblical,Original entry,Review,Original master,Existing
386,Noahic,Noah,Biblical patriarch,Pertaining to the Flood or Noah's covenant.,Relating to Noah,Biblical,Original entry,Review,Original master,Existing
387,Abrahamic,Abraham,Biblical patriarch,"Common heritage of Judaism, Christianity, and Islam.",Relating to Abraham,Religion,Original entry,Review,Original master,Existing
388,Lazarus,Lazarus of Bethany,Biblical figure,Raised from the dead by Jesus.,One restored from apparent death,Biblical,Original entry,Review,Original master,Existing
389,Thomas (Doubting Thomas),Apostle Thomas,Disciple of Jesus,Refused to believe the Resurrection without evidence.,Skeptic,Biblical,Original entry,Review,Original master,Existing
390,Prodigal,Prodigal Son,Biblical parable,Son returned repentant after wasting his inheritance.,Wastefully extravagant; returning after absence,Biblical,Original entry,Review,Original master,Existing
391,Magdalen,Mary Magdalene,Biblical follower of Jesus,Historically associated (incorrectly in tradition) with penitence.,Penitent woman (historical usage),Biblical,Original entry,Review,Original master,Existing
392,Pharisaic,Pharisees,Jewish religious sect,New Testament portrayal emphasized legalism and hypocrisy.,Self-righteous,Biblical,Original entry,Review,Original master,Existing
393,Sadducee,Sadducees,Jewish priestly sect,Influential group in Second Temple Judaism.,Member of the Sadducees,Biblical,Original entry,Review,Original master,Existing
394,Babylonian,Babylon,Ancient Mesopotamian city,"Symbol of grandeur, decadence, and exile in biblical tradition.",Luxurious or decadent,Ancient History,Original entry,Review,Original master,Existing
395,Babel,Tower of Babel,Biblical story,Human pride resulted in the confusion of languages.,Confused mixture of voices or languages,Biblical,Original entry,Review,Original master,Existing
396,Caesar,Julius Caesar,Roman ruler,Became synonymous with emperor.,Emperor or absolute ruler,Roman History,Original entry,Review,Original master,Existing
397,Kaiser,Julius Caesar,Via German *Kaiser*,German imperial title derived from Caesar.,German emperor,Roman History,Original entry,Review,Original master,Existing
398,Tsar/Czar,Julius Caesar,Via Latin *Caesar*,Slavic imperial title ultimately derived from Caesar.,Russian emperor,Roman History,Original entry,Review,Original master,Existing
399,Julian Calendar,Julius Caesar,Roman dictator,Introduced sweeping calendar reform in 45 BC.,Solar calendar,Roman History,Original entry,Review,Original master,Existing
400,Gregorian Calendar,Pope Gregory XIII,Pope,Introduced calendar reform in 1582 to correct Julian drift.,Modern civil calendar,Religion,Original entry,Review,Original master,Existing
401,Fabian Strategy,Quintus Fabius Maximus,Roman general,Avoided pitched battles to wear Hannibal down gradually.,War of attrition; cautious strategy,Military,Original entry,Review,Original master,Existing
402,Cincinnatus,Lucius Quinctius Cincinnatus,Roman statesman,Returned to farming after serving as dictator.,Citizen who relinquishes power voluntarily,Roman History,Original entry,Review,Original master,Existing
403,Pyrrhonism,Pyrrho,Greek philosopher,Founded the school of philosophical skepticism.,Radical skepticism,Philosophy,Original entry,Review,Original master,Existing
404,Stoicism,Zeno of Citium,Greek philosopher,"Taught virtue, reason, and emotional resilience.",Philosophy of endurance,Philosophy,Original entry,Review,Original master,Existing
405,Cynicism,Diogenes & Cynics,Greek philosophers,Rejected wealth and social convention.,Distrustful outlook,Philosophy,Original entry,Review,Original master,Existing
406,Sophistry,Sophists,Greek teachers,"Known for persuasive rhetoric, sometimes regardless of truth.",Plausible but misleading argument,Philosophy,Original entry,Review,Original master,Existing
407,Socratic Method,Socrates,Greek philosopher,Teaching through disciplined questioning.,Question-based teaching,Education,Original entry,Review,Original master,Existing
408,Euclidean Geometry,Euclid,Greek mathematician,Classical geometry based on Euclid's *Elements*.,Plane geometry,Mathematics,Original entry,Review,Original master,Existing
409,Archimedean Screw,Archimedes,Greek inventor,Device for raising water.,Water-lifting mechanism,Engineering,Original entry,Review,Original master,Existing
410,Pythagorean Theorem,Pythagoras,Greek mathematician,Relationship between the sides of a right triangle.,Fundamental geometry theorem,Mathematics,Original entry,Review,Original master,Existing
411,Eratosthenes Sieve,Eratosthenes,Greek mathematician,Efficient method for identifying prime numbers.,Prime-number algorithm,Mathematics,Original entry,Review,Original master,Existing
412,Euclidean Algorithm,Euclid,Greek mathematician,Ancient algorithm for finding the greatest common divisor.,GCD algorithm,Mathematics,Original entry,Review,Original master,Existing
413,Hippocratic Oath,Hippocrates,Greek physician,Ethical pledge for physicians since antiquity.,Medical ethical oath,Medicine,Original entry,Review,Original master,Existing
414,Hippocratic Face,Hippocrates,Greek physician,Classical description of facial appearance before death.,Medical diagnostic sign,Medicine,Original entry,Review,Original master,Existing
415,Galenic,Galen,Greek physician,Medical practices based on Galen's teachings.,Relating to Galenic medicine,Medicine,Original entry,Review,Original master,Existing
416,Avicennaian,Avicenna (Ibn Sina),Persian physician,Based on the influential *Canon of Medicine*.,Relating to Avicenna,Medicine,Original entry,Review,Original master,Existing
417,Vesalian,Andreas Vesalius,Flemish anatomist,Founder of modern human anatomy.,Relating to anatomy,Medicine,Original entry,Review,Original master,Existing
418,Harveyan,William Harvey,English physician,Discovered systemic blood circulation.,Relating to circulation,Medicine,Original entry,Review,Original master,Existing
419,Listerism,Joseph Lister,British surgeon,Introduced antiseptic surgical techniques.,Antiseptic principles,Medicine,Original entry,Review,Original master,Existing
420,Parkinsonian,James Parkinson,English physician,Exhibiting features of Parkinson's disease.,Parkinson-like symptoms,Medicine,Original entry,Review,Original master,Existing
421,Adonis,Adonis,Beautiful youth loved by Aphrodite,Renowned for extraordinary beauty; his name became synonymous with a handsome man.,Exceptionally handsome man,Greek Mythology,Original entry,Review,Original master,Existing
422,Algorithm,Al-Khwarizmi,Persian mathematician,"His Latinized name, *Algoritmi*, became associated with systematic calculation and computation.",Step-by-step computational procedure,Mathematics,Original entry,Review,Original master,Existing
423,Ampere,André-Marie Ampère,French physicist,SI unit of electric current named in recognition of his work in electrodynamics.,Unit of electric current,Science,Original entry,Review,Original master,Existing
424,Aphrodisiac,Aphrodite,Greek goddess of love,Anything believed to arouse love or desire was associated with Aphrodite.,Substance that stimulates sexual desire,Greek Mythology,Original entry,Review,Original master,Existing
425,Braille,Louis Braille,French educator,Invented the raised-dot writing system for blind readers.,Tactile writing system,Education,Original entry,Review,Original master,Existing
426,Celsius,Anders Celsius,Swedish astronomer,Temperature scale named in his honor.,Temperature scale,Science,Original entry,Review,Original master,Existing
427,Chauvinism,Nicolas Chauvin,Legendary Napoleonic soldier,Said to have displayed blind patriotic devotion to Napoleon.,"Excessive or fanatical patriotism; later broadened to prejudice (e.g., male chauvinism)",History,Original entry,Review,Original master,Existing
428,Doppler,Christian Doppler,Austrian physicist,Explained the apparent frequency shift of waves from moving sources.,Frequency shift of waves,Physics,Original entry,Review,Original master,Existing
429,Fahrenheit,Daniel Fahrenheit,German physicist,Developed the Fahrenheit temperature scale.,Temperature scale,Science,Original entry,Review,Original master,Existing
430,Galvanize,Luigi Galvani,Italian physician,Experiments on frog muscles linked electricity with muscular contraction.,Stimulate into action,Science,Original entry,Review,Original master,Existing
431,Macadam,John Loudon McAdam,Scottish engineer,Revolutionized road-building with compacted crushed stone.,Hard road surface,Engineering,Original entry,Review,Original master,Existing
432,Martinet,Jean Martinet,French military officer,Known for relentless drilling and strict discipline.,Strict disciplinarian,Military,Original entry,Review,Original master,Existing
433,Mausoleum,Mausolus,Ruler of Caria,His monumental tomb at Halicarnassus became one of the Seven Wonders.,Grand tomb,Ancient History,Original entry,Review,Original master,Existing
434,Nemesis,Nemesis,Greek goddess of retribution,Punished hubris and restored balance.,Arch-rival; agent of downfall,Greek Mythology,Original entry,Review,Original master,Existing
435,Panacea,Panacea,Daughter of Asclepius,Represented universal healing in Greek mythology.,Universal remedy,Greek Mythology,Original entry,Review,Original master,Existing
436,Sandwich,Earl of Sandwich,British nobleman,Requested meat between slices of bread so he could continue gambling uninterrupted.,Sandwich,Food,Original entry,Review,Original master,Existing
437,Saxophone,Adolphe Sax,Belgian instrument maker,Invented and patented the instrument in 1846.,Musical instrument,Music,Original entry,Review,Original master,Existing
438,Stentorian,Stentor,Greek herald,His voice was said by Homer to equal that of fifty ordinary men.,Extremely loud voice,Greek Mythology,Original entry,Review,Original master,Existing
439,Sybaritic,Sybaris,Wealthy Greek colony,"Celebrated for luxury, pleasure, and extravagance.",Luxurious; pleasure-loving,Ancient Greece,Original entry,Review,Original master,Existing
440,Tesla,Nikola Tesla,Serbian-American inventor,SI unit of magnetic flux density named in his honor.,Unit of magnetic field strength,Physics,Original entry,Review,Original master,Existing
441,Watt,James Watt,Scottish engineer,Improved the steam engine; SI unit of power named after him.,Unit of power,Engineering,Original entry,Review,Original master,Existing
442,Zeppelin,Count Ferdinand von Zeppelin,German airship pioneer,Developed rigid airships that became associated with his name.,Rigid airship,Aviation,Original entry,Review,Original master,Existing
443,Babbitt,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
444,Becky Sharp,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
445,Benthamite,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
446,Bovarism,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
447,Brobdingnagian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
448,Bunyanesque,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
449,Candide,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
450,Cassandra,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
451,Circean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
452,Ciceronian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
453,Dantesque,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
454,Demosthenic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
455,Dionysian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
456,El Dorado,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
457,Euhemerism,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
458,Falstaffian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
459,Faustian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
460,Galahad,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
461,Gordian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
462,Hamletic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
463,Harpy,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
464,Hectoring,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
465,Herostratic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
466,Holmesian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
467,Hyperion,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
468,Icarian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
469,Iscariot,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
470,Jekyll-and-Hyde,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
471,Jezebel,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
472,Kafkaism,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
473,Lear-like,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
474,Lucullan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
475,Machiavel,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
476,Malapropism,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
477,Mentorless,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
478,Merlinic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
479,Miltonian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
480,Momism,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
481,Morphean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
482,Odyssean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
483,Penelopean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
484,Pickwickian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
485,Protean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
486,Rabelaisian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
487,Salomonic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
488,Shylockian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
489,Utopian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
490,Voltaic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 1,New candidate
491,Alcibiadean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
492,Antigonean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
493,Argus-eyed,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
494,Ariadne's Thread,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
495,Bacchic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
496,Belisarian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
497,Bellerophontic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
498,Briarean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
499,Burkean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
500,Caesarian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
501,Caligulan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
502,Calypsoan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
503,Catonian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
504,Cerberian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
505,Charybdean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
506,Clytemnestran,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
507,Croesian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
508,Daedalian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
509,Diomedean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
510,Electra Complex,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
511,Erasmian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
512,Euclideanism,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
513,Fabian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
514,Florentine,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
515,Galilean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
516,Galatean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
517,Gorgonize,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
518,Hamadryad,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
519,Horatian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
520,Irenic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
521,Ismenean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
522,Jovian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
523,Lucianic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
524,Lycurgan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
525,Medusan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
526,Minervan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
527,Myrmidon,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
528,Nereid,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
529,Niobean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
530,Orphic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
531,Ozymandian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
532,Periclean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
533,Phoenician,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
534,Plutonian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
535,Priapic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
536,Promethean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
537,Sapphic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
538,Saturnine,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
539,Thesean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
540,Theban,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 2,New candidate
541,Aeolian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
542,Agamemnonian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
543,Ajax,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
544,Andromedan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
545,Antaean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
546,Apollonian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
547,Arachnean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
548,Areopagitic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
549,Argonaut,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
550,Aristophanic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
551,Aristotelism,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
552,Bacchanal,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
553,Brutus-like,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
554,Cadmean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
555,Calliopean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
556,Caryatid,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
557,Charonic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
558,Clio-esque,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
559,Clothoic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
560,Cronian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
561,Eleusinian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
562,Elysian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
563,Eumenidean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
564,Eurydicean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
565,Hebraic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
566,Hecatean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
567,Helenic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
568,Hephaestean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
569,Hyacinthine,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
570,Iliadic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
571,Iphigenian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
572,Lethean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
573,Lycian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
574,Medean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
575,Melpomenean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
576,Mnemosynic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
577,Nemesian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
578,Oceanic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
579,Olympiad,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
580,Persean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
581,Philomelian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
582,Rhadamanthine,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
583,Selenic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
584,Terpsichorean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
585,Vulcanian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 3,New candidate
586,Adrian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
587,Aenean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
588,Agape,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
589,Alcestian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
590,Amphitryonic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
591,Anchisean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
592,Anacreontic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
593,Anchoretic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
594,Augustan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
595,Boeotian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
596,Cervantic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
597,Columbian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
598,Coriolanian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
599,Cressidan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
600,Cyranoesque,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
601,Dantescan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
602,Diogenic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
603,Donquixotism,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
604,Dorian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
605,Euclidian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
606,Evangelical,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
607,Gregorian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
608,Gulliverian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
609,Hobsonian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
610,Johnsonian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
611,Kantian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
612,Lilliputian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
613,Luciferian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
614,Newtonian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
615,Petrarchan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
616,Robinsonade,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
617,Victorian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 4,New candidate
618,Abderian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
619,Acadian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
620,Adonic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
621,Aeolianism,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
622,Aesopian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
623,Alcinoan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
624,Alcuinian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
625,Amalthean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
626,Ammonian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
627,Antonine,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
628,Apician,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
629,Apollinairean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
630,Aristarchian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
631,Arnoldian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
632,Athenean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
633,Attic,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
634,Barmecidal,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
635,Beatrician,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
636,Benthamism,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
637,Boethian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
638,Brueghelian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
639,Brunonian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
640,Carolingian,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
641,Cassandric,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
642,Catullan,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
643,Chaldean,,,,,,Candidate lexical/eponymous loanword,Verify,Expansion 5,New candidate
